Date,Time,Town / Village,Area,"Occupation(Where Relevant)",Description
27-Mar-09,16:10,Walthamstow,London,,"Three objects in the sky. They were circling and dipping in and outof the clouds. They could have been light sources or just reflectinglight. A possible tail of light at a slight angle away from the directionof travel on each of the objects."
28-Mar-09,08:45,Torquay,Devon,,"A group of very bright orange objects heading NW to SE at aconsistent speed and low altitude. There was a group of 15 followedby groups of 2-3 and 3-4 over a five minute period. They made nonoise."
29-Mar-09,20:45,Preston,Lancashire,,"Three bright lights heading in the same direction some 2 minutesapart. The 3rd light disintegrated and spilt up."
04-Apr-09,Not Given,Swindon,Wiltshire,,"A massive orange thing. Going so fast it passed a plane goingtowards RAF Lyneham."
04-Apr-09,00:30,Saddleworth,Lancashire,,"A bright orange ball of fire. It was quite high up in the sky over thehouse. It was changing colour and disappeared straight into the sky."
04-Apr-09,10:30,Harrogate,North Yorkshire,,It was square with orange lights.
04-Apr-09,21:02,Abergavenny,Gwent,,Two UFOs.
04-Apr-09,23:15,Leyland,Lancashire,,Object seen for 6-7 minutes.
05-Apr-09,09:00,Swindon,Wiltshire,,Something peculiar.
06-Apr-09,Not Given,Hessel,Humberside,,"Very bright white light. Its trail followed it for half an hour headingtowards Brough."
08-Apr-09,Not Given,Leeds,West Yorkshire,,A ball of fire.
08-Apr-09,01:00,Brighton,Sussex,,"Looked like a squashed balloon and had no wings. Rounder at thefront and pointed at the back. It had no lights at the front but 2-3 atthe back, one red, one red and flashing and one white/green.Witness heard the noise first which grew louder."
09-Apr-09,21:26,Note Given,Liverpool,,Two parallel lights. Red or orange lights in the sky.
11-Apr-09,21:35,Ellon,Aberdeenshire,,"A very bright orange glow. Moved about the speed of an airliner,heading south to north."
11-Apr-09,20:30,Bromley,Kent,,A UFO.
11-Apr-09,21:05,Harrow,London,,"A big ball of fire, like a star. It decreased in size over two minutes."
11-Apr-09,21:20,Chesterfield,Derbyshire,,"Several orange lights, same colour and brightness of street lights.Three were close together and the others were in a horizontal line."
11-Apr-09,21:40,Goole,Humberside,,"A Light. Moved past very slowly then shot off at phenomenal speed.It was round but twice it changed into a cone shape. 300-400ft up."
12-Apr-09,Not Given,Swindon,Wiltshire,,"Four glowing objects coming from southwest and then turned north.They were glowing duller and brighter, then disappeared."
12-Apr-09,23:10,Linlithgow,West Lothian,,A UFO.
13-Apr-09,Not Given,Farnborough,Hampshire,,"A ball of glowing red light. After 30 seconds the light dimmed slightlyand then just disappeared."
13-Apr-09,21:00,Moelfre,Angelsey,,Looked like a Chinese lantern.
13-Apr-09,21:30,Derby,Derbyshire,,"Two orangey lights in the sky moving towards each other. Then aball of light approached the other lights. All three were stationary fora while before disappearing into the distance. Another light thenhovered where the others had been."
14-Apr-09,21:45,Strathspey,Invernesshire,,"A bright orange light approached at low level and then remainedstationary for 10 minutes. Then it turned red."
14-Apr-09,22:00,Smalley,Derbyshire,,"A round yellow ball. It looked like it had a parachute on top, theshape of a helmet."
14-Apr-09,22:45,Wallington,Surrey,,Nine green lights in the sky.
15-Apr-09,20:30,Dover,Kent,,"Two objects, five minutes apart heading East to West. They lookedlike orange fiery balls but made no sound. They travelled at thespeed of a plane. They had no tail."
18-Apr-09,22:22,Brandon,Suffolk,,Two yellow objects like giant sparklers heading North to South.
18-Apr-09,Not Given,Oswestry,Shropshire,,A UFO.
19-Apr-09,10:00,Maghull,Merseyside,,"A orange ball in the sky, travelling very quickly then stopped andfaded away."
19-Apr-09,20:40,Snodlands,Kent,,"An oval shaped glowing red object, in two dimensions. It spun in onedirection then reversed and swung in the other."
19-Apr-09,21:23,Not Given,Liverpool,,A UFO Southwest of Liverpool.
21-Apr-09,21:34,Maidstone,Kent,,"Lights rising from the ground into the sky, much like debris from afire. However lights were too intense to be a fire. Seen in thedirection of the North Downs from Maidstone."
21-Apr-09,22:03,Pendleton,Manchester,,A bright orange object moving at a steady pace.
21-Apr-09,22:55,Brighton,Sussex,,"A bright flaming object, about a quarter of the size of the moon. Itwas like a special effect. It was silent and went from horizon tohorizon, starting in the North."
22-Apr-09,15:10,Basingstoke,Hampshire,,"Like a large black parachute with nothing suspended from it. Itchanged shape and gradually got smaller as it went into thedistance. Observed for 10-20 minutes."
24-Apr-09,01:22,Harrow,London,,"A long shaped vehicle with a red light at the front and two gold lightseither side. Hovered above the house and then moved off to theright at tremendous speed before returning. It then drifted slowlyaway. It was louder than a plane or helicopter."
25-Apr-09,10:15,Croydon,London,,A bright red light over the house.
25-Apr-09,20:30,Bury St Edmunds,Suffolk,"Former Air TrafficController","A large black ball with a light underneath. Travelling South overwestern Bury St Edmunds at 3000ft at 200 miles an hour."
26-Apr-09,Not Given,"Holmefirth/Huddersfield",West Yorkshire,,"A black spherical object 12m in diameter. It was 500ft up andtravelling at 500 mph. It made no sound. It had a light on butswitched it off when the witness shone a torch at it."
26-Apr-09,00:50,Hackney,London,,"Two bright lights heading towards the city. Like a white octopusshaped kite. It was like they were propelled but travelling on theirown."
26-Apr-09,18:15,Regents Park,London,,"A spherical object with a red flashing light underneath. It wasstationary in the sky for 10 minutes and then just faded away. It hadmade no movement at all."
26-Apr-09,18:30,Central London,London,,"Single small white orb shortly joined by two others. Changed into adull flat circular shape. They were hovering over Central London at15-20,000 ft but not blown by the wind. Objects disappeared but onereappeared for five minutes."
26-Apr-09,22:05,Grimsby,Lincolnshire,,"Looked like a star or satellite. Saw three within 20 minutes. Camefrom the south. Its speed increased and then slowed down. Finallyheaded east over the North Sea."
28-Apr-09,Not Given,Tywyn,Gwynedd,,"A big bright orange light. It turned white and then disappeared veryquickly. It made no noise."
28-Apr-09,21:48,Ferrers,Essex,,A sighting.
29-Apr-09,23:10,Nottingham,Nottinghamshire,,"Two orange lights flying in a parallel formation in an arc. One slowedand went behind the other then they both gradually faded away. Fartoo fast to be aircraft. They had no flashing lights and made nosound."
29-Apr-09,23:44,Caterham,Surrey,,"A very small white light with no flashing lights or smoke trail.Headed north then did a sharp turn to the east and then was justgone."
30-Apr-09,20:30,Sutton,Surrey,,"A bright green light that whizzed about the sky for an hour. It wasvery fast and a few planes got in its way."
02-May-09,21:36,Chorley,Lancashire,,"Saw orange lights that looked like flames. They were heading Southto North towards Preston. Police said it was the open rear of anaircraft undertaking parachute training."
02-May-09,21:50,Upper Norwood,London,,"Six very bright orange lights flying in formation passed by in 15minutes. Heading from Upper Norwood towards Crystal Palace."
02-May-09,22:00,Burbage,Wiltshire,,"Initially one then five pitch black hot air balloon shaped objects withcontinual flames underneath."
02-May-09,23:00,Long Eaton,Nottinghamshire,,"A large bright yellow object hovering in the sky. Too bright to be anaircraft and the wrong colour. It didn't move for ages and thendisappeared in the blink of an eye."
02-May-09,23:30,Buckhurst Hill,Essex,,"A slow moving, silent, orangey/red light. Does not think it was ahelicopter or aircraft. Flew at same height as a helicopter."
02-May-09,23:55,Southampton,Hampshire,,"Six bright white & orange lights, two single and two in two objectformation. Lower and faster than a satellite. Witness contacted localpolice who had no other reports."
03-May-09,Not Given,Darlington,County Durham,,"Two bright orangey/red lights  moving towards Durham/Tees ValleyAirport. The objects flew steady, level and straight."
03-May-09,15:50,Otmoor,Oxfordshire,Pilot,"A shiny black flying cylinder, 20-30ft long at about 4700ft which was200ft above the pilots aircraft. Although the pilot sighted the object.Air Traffic Control forwarded details to the UFO Desk."
03-May-09,21:30,Ammanford,Dyfed,Pilot,"Seven orange orbs that suddenly disappeared. They were on aNorth-South trajectory. Witness contacted Cardiff Air Traffic Controlwho had nothing on radar."
04-May-09,00:20,Barton near A6,Lancashire,,"Nine bright orange lights moving at slow speed and at 2000ft. Theymade no sound."
05-May-09,22:10,Roade,Northampton,,An orange flash and a loud bang.
07-May-09,22:25,High Peak,Derbyshire,,"Three bright small lights very close together travelling in a straightline. They were flashing rapidly but made no noise and looked likethey were on fire but clearly were not. Speed of 100-150mph at1000ft. Came back eight minutes later."
09-May-09,17:55,St Helens,Merseyside,,"A UFO over the witnesses house. It was at 30,000ft and he has seenit before."
09-May-09,22:00,Harlow,Essex,,"A diamond shaped orange light. If you held out your hand it wouldhave been the size of a 20p coin. It was totally silent. The objectcarried on in the distance and then another one appeared andfollowed the same path."
09-May-09,22:10,Northwich,Cheshire,,"Four big lights in a line formation. Two dropped down and the othertwo moved off quickly into the distance."
09-May-09,22:50,Central London,London,,Twenty orange balls heading north.
11-May-09,Not Given,Tomintoul,Banffshire,,"Like a star, but jumping all over the sky. It was 70 degrees abovethe horizon. It was a blue/white colour and occasionally red and lefta light trail."
11-May-09,21:38,Southampton,Hampshire,,A very bright light. It made no sound but was very low.
14-May-09,22:00,Nenthead,Cumbria,,"A bright orange light. Too bright for a Chinese lantern. The lightlooked electrical not a flame. Travelled in a straight line at a steadyspeed. Travelled East to West with the wind. Made no noise. It wasabout the size of a quarter moon."
16-May-09,Not Given,Brandon,Suffolk,,"Four flaming balloons that disappeared over the horizon fairlyquickly. Was not very high."
16-May-09,00:20,Bedford,Bedfordshire,,"A strange blue light near the Cardington Hangers. Flew straight pastthe witness."
16-May-09,21:50,Petts Wood,Kent,,"8-10 bright red lights. They were hovering. They movedindependently into the distance and disappeared when a light aircraftappeared."
16-May-09,22:00,Deeside,Flintshire,,"Seven bright orange lights in the sky. Silent. Travelling towards theWirral."
19-May-09,10:00,Redruth,Cornwall,,A big bright light. Came from west Cornwall towards Plymouth.
19-May-09,21:30,Bexhill-on-Sea,East Sussex,,A series of orange balls of fire.
19-May-09,22:15,Long Eaton,Nottingham,,"An ellipse shaped object the size of a commercial plane. It was onfire. It glowed bright orange. It moved South East to North and thenreturned and hovered for at least a minute. Moved further away atsupersonic speed."
21-May-09,Not Given,Not Given,Not Given,,A very bright blue light flew behind the house.
21-May-09,23:40,King's Lynn,Norfolk,,"Very strange circular objects without definite shape. They stayedaround for about five minutes. They were 8-9 of them."
23-May-09,22:00,Penzance,Cornwall,,"Ten orange lights in a line with intermittent gaps. They made nosound and flew at helicopter height."
23-May-09,22:10,Dudley,West Midlands,,"A big bright light. Thought it was a helicopter at first. Within secondsfollowed by three others and then a further three. Flew low but madeno sound."
23-May-09,22:10,Bodium,East Sussex,,A strange sighting.
23-May-09,23:00,Hove,East Sussex,,A very big red light moving slowly. It then faded away.
23-May-09,23:00,Winsford,Cheshire,,"An orange light travelling from the south. It was followed by twomore orange lights on the same path, then five more and then twomore. They made no noise but were at the height of a helicopter."
24-May-09,00:00,Llandaff City,Cardiff,,Seven bright red lights.
24-May-09,13:42,Wakefield,West Yorkshire,,"A white object with a silver beam coming from it, over PugneysCountry Park. It looked square but changed shape as it movedabout. Witness saw it through binoculars. An aircraft flew very closeto it."
24-May-09,22:15,Solihull,West Midlands,,"Three objects like fireballs falling to earth. They were glowing andorange. There was one large object and two smaller ones whichconverged together and rose into the atmosphere until they fadedaway."
25-May-09,12:00,Swansea,West Glamorgan,,Three small yellow orbs travelling quite slow.
25-May-09,23:00,Bracknell,Berkshire,,"A UFO. It was a ""glowing ball of something or other"". Definitely not aplane."
30-May-09,Not Given,Spilsby,Lincolnshire,,A sighting.
30-May-09,02:47,Folkestone,Kent,,"A bright circular amber light, the size of a 2p coin. It was movingvery slowly in a straight line but once it flew over the witnesseshouse it accelerated away very very quickly into the distance. Itmade no noise and left no vapour trail."
30-May-09,22:30,"Tunstall to ButleyRoad",Suffolk,,"Two clusters of bright lights. They were stationary for a while thenthe first group of 15 headed towards Woodbridge followed by thesecond cluster of 6-7 lights. They were very high up. They made nosound."
30-May-09,23:30,Ballynahinch,County Down,,"Three distinct sets of green, orange and white lights. Don't matchany constellation and are in the wrong place. Static to the eye butwith binoculars are moving at speed and at random."
31-May-09,00:30,Chapel-en-le-Frith,Derbyshire,,"Was watching shooting stars when the witness saw two brightluminous orange objects like birds or swans. Does not think theywere birds as they moved too fast."
Jun-09,22:00,Eltham,London,,Black shaped square object.
Jun-09,Not Given,Baswich,Stafford,,"Two objects seen.  Photograph taken in June a week after themystery hot air balloon search."
Jun-09,16:00,Rowley Regis,West Midlands,,"Saw a long greyish tube in the sky, when driving home along theA4031."
02-Jun-09,22:50,Chesterfield,Derbyshire,,A sighting.
06-Jun-09,Not Given,Lewes,East Sussex,,Eleven bright star like objects heading North East.
07-Jun-09,00:15,Ripon,North Yorkshire,"Air TrafficController","Bright orange lights. A single light followed by a group of three andthen another single light. On a North East to South West track."
